,open,high,low,close,adjclose,volume,ticker,adjclose_1,true_adjclose_1,profitBuy,profitSell
2010-09-22,4.173999786376953,4.190000057220459,3.9600000381469727,3.9739999771118164,3.9739999771118164,4814500,TSLA,5.300096,3.9119999408721924,0.0,-1.3260960578918457
2010-10-01,4.138000011444092,4.150000095367432,4.061999797821045,4.119999885559082,4.119999885559082,2988500,TSLA,5.2885804,4.197999954223633,1.1685805320739746,0.0
2010-10-05,4.230000019073486,4.25600004196167,4.202000141143799,4.223999977111816,4.223999977111816,1660000,TSLA,5.3730025,4.0920000076293945,0.0,-1.1490025520324707
2010-10-21,4.122000217437744,4.190000057220459,4.090000152587891,4.150000095367432,4.150000095367432,2085500,TSLA,5.2670445,4.144000053405762,0.0,-1.117044448852539
2010-10-22,4.136000156402588,4.185999870300293,4.110000133514404,4.144000053405762,4.144000053405762,805500,TSLA,5.320632,4.170000076293945,1.1766319274902344,0.0
2010-10-25,4.188000202178955,4.196000099182129,4.145999908447266,4.170000076293945,4.170000076293945,592500,TSLA,5.3619666,4.271999835968018,1.1919665336608887,0.0
2010-11-09,5.0,5.138000011444092,4.809999942779541,4.926000118255615,4.926000118255615,4782000,TSLA,6.27373,5.872000217437744,1.3477296829223633,0.0
2010-11-10,4.895999908447266,5.99399995803833,4.809999942779541,5.872000217437744,5.872000217437744,15302500,TSLA,6.5670786,5.607999801635742,0.0,-0.6950783729553223
2010-11-11,5.71999979019165,5.820000171661377,5.466000080108643,5.607999801635742,5.607999801635742,9726500,TSLA,6.874582,5.9679999351501465,1.2665820121765137,0.0
2010-11-17,6.039999961853027,6.150000095367432,5.7220001220703125,5.8979997634887695,5.8979997634887695,3750000,TSLA,7.2386727,5.978000164031982,1.3406729698181152,0.0
2010-11-18,6.133999824523926,6.1479997634887695,5.783999919891357,5.978000164031982,5.978000164031982,4780500,TSLA,7.130508,6.197999954223633,1.1525077819824219,0.0
2010-11-30,6.748000144958496,7.065999984741211,6.682000160217285,7.065999984741211,7.065999984741211,11113000,TSLA,7.941751,6.869999885559081,0.0,-0.8757510185241699
2010-12-02,6.802000045776367,6.860000133514404,6.239999771118164,6.46999979019165,6.46999979019165,10035000,TSLA,7.601454,6.297999858856201,0.0,-1.1314539909362793
2010-12-10,6.409999847412109,6.584000110626221,6.22599983215332,6.303999900817871,6.303999900817871,2147000,TSLA,7.55699,6.110000133514403,0.0,-1.2529902458190918
2010-12-22,6.449999809265137,6.572000026702881,6.340000152587891,6.526000022888184,6.526000022888184,4166500,TSLA,7.6711445,6.01800012588501,0.0,-1.1451444625854492
2011-01-24,4.705999851226807,4.961999893188477,4.645999908447266,4.8979997634887695,4.8979997634887695,8225500,TSLA,5.781222,4.935999870300293,0.8832221031188965,0.0
2011-01-28,4.97599983215332,4.97599983215332,4.75,4.802000045776367,4.802000045776367,5242000,TSLA,6.097978,4.820000171661377,1.29597806930542,0.0
2011-02-03,4.763999938964844,4.78000020980835,4.630000114440918,4.72599983215332,4.72599983215332,2560000,TSLA,5.8135777,4.691999912261963,0.0,-1.0875778198242188
2011-02-25,4.561999797821045,4.769999980926514,4.538000106811523,4.7220001220703125,4.7220001220703125,6731500,TSLA,5.732372,4.7779998779296875,1.0103716850280762,0.0
2011-02-28,4.748000144958496,4.820000171661377,4.699999809265137,4.7779998779296875,4.7779998779296875,5256000,TSLA,5.9476233,4.788000106811523,1.1696233749389648,0.0
2011-03-04,4.895999908447266,4.998000144958496,4.75600004196167,4.989999771118164,4.989999771118164,7900500,TSLA,6.0102983,4.98799991607666,0.0,-1.0202984809875488
